TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.96,0.05,0.05,0.50,0.31,0.00,0.04,0.24,0.11,0.01,1.32
AT0 0,44.86,9.58,9.13,26.68,7.34,3.16,1.52,11.39,4.32,0.40,27.23
BA0 0,4.90,1.00,0.96,1.09,1.08,0.00,0.08,0.27,0.92,0.01,2.66
BE0 0,67.61,6.57,6.25,23.25,21.46,6.79,2.69,58.35,5.11,2.04,37.94
BG0 0,13.67,0.00,0.00,4.23,3.70,2.47,0.50,9.52,1.10,0.33,8.95
CH0 0,18.47,0.52,0.49,7.09,4.75,0.24,0.72,11.23,1.63,0.39,11.39
CZ0 0,39.35,6.69,6.38,11.94,6.75,1.42,1.32,11.82,3.72,0.41,22.64
DE0 0,347.92,41.03,39.09,129.13,105.15,19.73,13.70,257.95,28.31,9.03,224.88
DK0 0,12.71,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK1 0,4.23,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.56
EE2 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,117.48,5.95,5.67,42.81,18.55,1.92,3.62,22.73,9.15,0.80,65.68
ES3 0,36.88,0.47,0.45,5.44,6.93,1.24,0.76,14.66,4.06,0.51,10.37
FI1 0,48.41,3.58,3.41,55.27,5.42,0.62,1.79,13.49,1.50,0.47,37.89
FR0 0,172.55,13.41,12.78,73.40,33.85,8.21,6.45,65.44,14.51,2.29,107.02
GB4 0,6.60,0.01,0.01,1.48,1.48,0.59,0.23,3.57,0.61,0.13,4.54
GB5 0,150.15,12.35,11.76,47.46,18.46,6.04,5.50,36.33,9.80,1.27,87.91
GR0 0,18.75,0.00,0.00,6.37,5.45,0.94,0.42,2.53,3.26,0.09,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,21.64,2.06,1.96,7.51,6.54,2.60,0.86,15.29,1.84,0.54,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,169.93,6.54,6.23,60.73,22.24,4.15,5.79,26.90,13.71,0.94,108.58
IT6 0,6.86,0.00,0.00,1.78,2.26,0.35,0.20,2.24,1.79,0.08,4.08
LT2 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV2 0,3.77,0.00,0.00,3.83,0.70,0.00,0.16,0.31,0.66,0.01,1.70
ME0 0,0.75,0.02,0.02,0.29,0.16,0.00,0.02,0.09,0.16,0.00,0.36
MK0 0,2.06,0.62,0.59,0.32,0.35,0.00,0.03,0.15,0.16,0.01,1.37
NL0 0,77.05,9.40,8.96,22.99,40.92,18.15,3.83,131.34,3.43,4.60,34.25
NO1 0,33.40,2.27,2.16,9.26,12.26,2.37,0.92,21.36,6.53,0.75,17.42
PL0 0,73.98,7.26,6.92,36.29,14.23,17.36,2.18,13.52,10.87,0.47,49.48
PT0 0,26.98,0.00,0.00,17.64,4.74,0.00,1.03,5.11,3.46,0.18,15.48
RO0 0,34.03,3.07,2.93,10.24,10.22,3.95,1.09,15.45,5.41,0.54,20.53
RS0 0,15.03,1.41,1.34,4.35,3.47,0.58,0.48,7.56,0.72,0.26,9.94
SE1 0,56.19,3.94,3.76,59.75,7.56,0.00,2.09,17.80,2.54,0.62,50.28
SI0 0,7.27,0.00,0.00,3.48,1.21,0.00,0.23,1.34,0.91,0.05,6.20
SK0 0,16.97,5.78,5.51,6.16,2.89,3.08,0.35,0.51,3.10,0.02,11.61
